Category,Title,MediaLocation,LocalMediaLocation,IsViewed
Eso Arbi Shikhi Vol. 1,"02. Chapter 1, Lesson 1, পর্বঃ ০২",https://www.youtube.com/watch?v=mS2s4xLiEgM,,false
Eso Arbi Shikhi Vol. 1,"03. Chapter 1, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=VyHwUCAAt7o,,false
Eso Arbi Shikhi Vol. 1,"04. Chapter 1, Lesson 3, পর্বঃ০১",https://www.youtube.com/watch?v=W9pLD4CnJE8,,false
Eso Arbi Shikhi Vol. 1,"05. Chapter 1, Lesson 3, পর্বঃ০২",https://www.youtube.com/watch?v=yZtAoIAv8hM,,false
Eso Arbi Shikhi Vol. 1,"06. Chapter 1, Lesson 4, পর্বঃ ০১",https://www.youtube.com/watch?v=JBXd2d6oJBY,,false
Eso Arbi Shikhi Vol. 1,"07. Chapter 1, Lesson 4, পর্বঃ ০২",https://www.youtube.com/watch?v=3s1e9vIHHKc,,false
Eso Arbi Shikhi Vol. 1,"08. Chapter 1, Lesson 5, পর্বঃ০১",https://www.youtube.com/watch?v=Nb3pSkZWfq4,,false
Eso Arbi Shikhi Vol. 1,"09. Chapter 1, Lesson 5, পর্বঃ০২",https://www.youtube.com/watch?v=7CgiXqgwHro,,false
Eso Arbi Shikhi Vol. 1,"10. Chapter 1, Lesson 5, পর্বঃ০৩",https://www.youtube.com/watch?v=fYpVgEoK0Rs,,false
Eso Arbi Shikhi Vol. 1,"11. Chapter 1, Lesson 6, পর্বঃ০১",https://www.youtube.com/watch?v=ifbLIEedNmk,,false
Eso Arbi Shikhi Vol. 1,"12. Chapter 1, Lesson 6, পর্বঃ ০২",https://www.youtube.com/watch?v=_c2CfkbVfQ8,,false
Eso Arbi Shikhi Vol. 1,"13. Chapter 1, Lesson 7, পর্বঃ ০১",https://www.youtube.com/watch?v=W-5MPn_rWRA,,false
Eso Arbi Shikhi Vol. 1,"14. Chapter 1, Lesson 7, পর্বঃ ০২",https://www.youtube.com/watch?v=jX5T6Jb1B8s,,false
Eso Arbi Shikhi Vol. 1,"15. Chapter 1, Lesson 8, পর্বঃ ০১",https://www.youtube.com/watch?v=0lcS9oF1sXo,,false
Eso Arbi Shikhi Vol. 1,"16. Chapter 1, Lesson 9, পর্বঃ ০১",https://www.youtube.com/watch?v=4s6WT4C_dpI,,false
Eso Arbi Shikhi Vol. 1,"17. Chapter 2, Lesson 1, পর্বঃ ০১",https://www.youtube.com/watch?v=eAxQpk57pNI,,false
Eso Arbi Shikhi Vol. 1,"18. Chapter 2, Lesson 1, পর্বঃ ০২",https://www.youtube.com/watch?v=ZU0YaPucm-s,,false
Eso Arbi Shikhi Vol. 1,"19. Chapter 2, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=RQaWO7rC1d0,,false
Eso Arbi Shikhi Vol. 1,"20. Chapter 2, Lesson 3, পর্বঃ ০১",https://www.youtube.com/watch?v=x2wBT_sXvbg,,false
Eso Arbi Shikhi Vol. 1,"21. Chapter 2, Lesson 3, পর্বঃ ০২",https://www.youtube.com/watch?v=GOXfCmGIKtM,,false
Eso Arbi Shikhi Vol. 1,"22. Chapter 2, Lesson 4, পর্বঃ ০১",https://www.youtube.com/watch?v=tgRD8ZGViQ8,,false
Eso Arbi Shikhi Vol. 1,"23. Chapter 2, Lesson 4, পর্বঃ ০২",https://www.youtube.com/watch?v=1xswYum510g,,false
Eso Arbi Shikhi Vol. 1,"24. Chapter 2, Lesson 5, পর্বঃ ০১",https://www.youtube.com/watch?v=QCzUc8WDjQY,,false
Eso Arbi Shikhi Vol. 1,"25. Chapter 2, Lesson 6, পর্বঃ ০১",https://www.youtube.com/watch?v=gmvrdp2Zrao,,false
Eso Arbi Shikhi Vol. 1,"26. Chapter 2, Lesson 7, পর্বঃ ০১",https://www.youtube.com/watch?v=iaK3_jRtqMw,,false
Eso Arbi Shikhi Vol. 1,"28. Chapter 3, Lesson 1, পর্বঃ ০১",https://www.youtube.com/watch?v=ZcP8tvwR85Q,,false
Eso Arbi Shikhi Vol. 1,"27. Chapter 2, Lesson 8, পর্বঃ ০১",https://www.youtube.com/watch?v=3YSfjW3hYpg,,false
Eso Arbi Shikhi Vol. 1,"29. Chapter 3, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=ILSRVol-tDA,,false
Eso Arbi Shikhi Vol. 1,"30. Chapter 3, Lesson 3, পর্বঃ ০১",https://www.youtube.com/watch?v=30QVKv1V8zk,,false
Eso Arbi Shikhi Vol. 2,"31. Chapter 1, Lesson 1, পর্বঃ ০১",https://www.youtube.com/watch?v=EAjp10NB500,,false
Eso Arbi Shikhi Vol. 2,"32. Chapter 1, Lesson 1, পর্বঃ ০২",https://www.youtube.com/watch?v=w4O22eERP3o,,false
Eso Arbi Shikhi Vol. 2,"33. Chapter 1, Lesson 1, পর্বঃ ০৩",https://www.youtube.com/watch?v=6H2rhBz04IA,,false
Eso Arbi Shikhi Vol. 2,"34. Chapter 1, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=feqflc5TU_o,,false
Eso Arbi Shikhi Vol. 2,"35. Chapter 1, Lesson 3, পর্বঃ ০১",https://www.youtube.com/watch?v=SpN-y3MfgaM,,false
Eso Arbi Shikhi Vol. 2,"36. Chapter 1, Lesson 4, পর্বঃ ০১",https://www.youtube.com/watch?v=7xr5Mca1kK0,,false
Eso Arbi Shikhi Vol. 2,"37. Chapter 1, Lesson 5, পর্বঃ ০১",https://www.youtube.com/watch?v=D6KwO5c3ues,,false
Eso Arbi Shikhi Vol. 2,"38. Chapter 1, Lesson 6, পর্বঃ ০১",https://www.youtube.com/watch?v=MIqTp9zRunA,,false
Eso Arbi Shikhi Vol. 2,"39. Chapter 1, Lesson 7, পর্বঃ ০১",https://www.youtube.com/watch?v=hVDbSVoMIGU,,false
Eso Arbi Shikhi Vol. 2,"40. Chapter 1, Lesson 8, পর্বঃ ০১",https://www.youtube.com/watch?v=pvFii7wNKyA,,false
Eso Arbi Shikhi Vol. 2,"41. Chapter 1, Lesson 9, পর্বঃ ০১",https://www.youtube.com/watch?v=vY8GYBasY2A,,false
Eso Arbi Shikhi Vol. 2,"42. Chapter 1, Lesson 10, পর্বঃ ০১",https://www.youtube.com/watch?v=FqlZfDsmhsw,,false
Eso Arbi Shikhi Vol. 2,"43. Chapter 1, Lesson 11, পর্বঃ ০১",https://www.youtube.com/watch?v=eIZMACDHrGY,,false
Eso Arbi Shikhi Vol. 2,"44. Chapter 1, Lesson 12, পর্বঃ ০১",https://www.youtube.com/watch?v=cG32Onf1EeI,,false
Eso Arbi Shikhi Vol. 2,"45. Chapter 1, Lesson 13, পর্বঃ ০১",https://www.youtube.com/watch?v=-Hjy4ts1rnM,,false
Eso Arbi Shikhi Vol. 2,"46. Chapter 1, Lesson 14, পর্বঃ ০১",https://www.youtube.com/watch?v=O16O9VZmASY,,false
Eso Arbi Shikhi Vol. 2,"47. Chapter 1, Lesson 15, পর্বঃ ০১",https://www.youtube.com/watch?v=88Xn02DHaKE,,false
Eso Arbi Shikhi Vol. 2,"48. Chapter 1, Lesson 16, পর্বঃ ০১",https://www.youtube.com/watch?v=hfcjQwn0Vz0,,false
Eso Arbi Shikhi Vol. 2,"49. Chapter 1, Lesson 17, পর্বঃ ০১",https://www.youtube.com/watch?v=Srf1urGfx8k,,false
Eso Arbi Shikhi Vol. 2,"50. Chapter 1, Lesson 18, পর্বঃ ০১",https://www.youtube.com/watch?v=8nwb6q4Rjs0,,false
Eso Arbi Shikhi Vol. 2,"51. Chapter 1, Lesson 19, পর্বঃ ০১",https://www.youtube.com/watch?v=3GP7CCAyPCQ,,false
Eso Arbi Shikhi Vol. 2,"52. Chapter 1, Lesson 20, পর্বঃ ০১",https://www.youtube.com/watch?v=GztaM24zCjI,,false
Eso Arbi Shikhi Vol. 2,"53. Chapter 1, Lesson 21, পর্বঃ ০১",https://www.youtube.com/watch?v=A61NN1Ybnh4,,false
Eso Arbi Shikhi Vol. 2,"54. Chapter 2, Lesson 1, পর্বঃ ০১",https://www.youtube.com/watch?v=hk7K43DHVdk,,false
Eso Arbi Shikhi Vol. 2,"55. Chapter 2, Lesson 2, পর্বঃ ০১",https://www.youtube.com/watch?v=w05RYJOA7sQ,,false
Eso Arbi Shikhi Vol. 2,"56. Chapter 2, Lesson 3, পর্বঃ ০১",https://www.youtube.com/watch?v=u2uOXLTfQ8M,,false
Eso Arbi Shikhi Vol. 2,"57. Chapter 2, Lesson 4, পর্বঃ ০১",https://www.youtube.com/watch?v=EU9Ojq5jn4s,,false
Eso Arbi Shikhi Vol. 2,"58. Chapter 2, Lesson 5, পর্বঃ ০১",https://www.youtube.com/watch?v=RBWBQCyxOJI,,false
Eso Arbi Shikhi Vol. 2,"59. Chapter 2, Lesson 6, পর্বঃ ০১",https://www.youtube.com/watch?v=jUQaOM-QMI8,,false
